epoch, time, test_loss, train_loss, test_accuracy, reconstruction_loss_train, reconstruction_loss_test
0, 10.172394514083862, 1.6531590223312378, 1.7200978994369507, 8.92, 182.06134033203125, 179.82849236983287
1, 106.71580219268799, 0.054144308866956564, 0.23135645066433624, 98.06, 53.5201768773451, 48.84942675240432
2, 106.49153971672058, 0.0407920967363104, 0.04767522123306672, 98.54, 44.75906537997443, 41.893838954877246
3, 106.50154876708984, 0.03477406843647927, 0.03854205778269752, 98.85000000000001, 41.70025840547802, 41.06486414655854
4, 106.9983434677124, 0.03376222135428386, 0.034808103336708376, 99.02, 41.21153071389269, 40.641550426241714
5, 106.35233807563782, 0.03189602845548829, 0.03270609569209598, 99.03, 40.897071838378906, 40.20158912562117
6, 106.09514284133911, 0.031320653879378414, 0.030885546029344804, 99.03999999999999, 40.409528768901374, 39.682698261888724
7, 105.94619631767273, 0.028745721884166138, 0.029171902273318916, 99.05000000000001, 39.43680622125231, 38.150054714347746
8, 106.74387121200562, 0.028483804574684253, 0.027178736884138986, 99.14, 37.51449291334986, 36.245097268985795
9, 106.30902361869812, 0.025273356233027917, 0.025491463183276435, 99.25, 35.64511030315082, 34.565331519404545
10, 107.13850283622742, 0.025770086064180242, 0.02394262790235121, 99.0, 34.07093912706192, 33.328906288629845
11, 107.53143978118896, 0.023336596103220045, 0.0225145571283313, 99.21, 32.68683314780945, 31.884426406667203
12, 106.47801470756531, 0.021753768589866312, 0.021275570075998684, 99.38, 31.10348614446644, 29.653194524064848
